
---Perioada de 30 de zile---
Transport: ,51413$
Cazare: ,1110129$
Machiaj: ,529008$
Mancare: ,513375$
Apa: ,19396$
Inchiriere spatiu: ,64655$

---Perioada de 45 de zile---
Transport: ,51413$
Cazare: ,1665194$
Machiaj: ,793512$
Mancare: ,770062$
Apa: ,29094$
Inchiriere spatiu: ,96982$

---Perioada de 60 de zile---
Transport: ,51413$
Cazare: ,2220258$
Machiaj: ,1058017$
Mancare: ,1026750$
Apa: ,38793$
Inchiriere spatiu: ,129310$

---Perioada de 100 de zile---
Transport: ,51413$
Cazare: ,3700431$
Machiaj: ,1763362$
Mancare: ,1711250$
Apa: ,64655$
Inchiriere spatiu: ,215517$

